category,instance,param_set,best,worst,avg,std,avg_time,avg_convergence,p_population_size,p_generations,p_crossover_rate,p_mutation_rate
small,la01,A,666,682,671.3,6.733828364641057,0.08440782999987277,82.1,50,200,0.8,0.1
small,la01,B,666,688,668.4,6.899275324264136,0.42820615000000545,105.6,100,500,0.8,0.2
small,la01,C,666,666,666,0.0,1.3635547899997618,128.2,150,1000,0.9,0.3
small,la05,A,593,593,593,0.0,0.08411938999961421,11.7,50,200,0.8,0.1
small,la05,B,593,593,593,0.0,0.43013252999953694,10.1,100,500,0.8,0.2
small,la05,C,593,593,593,0.0,1.369406909999998,8.3,150,1000,0.9,0.3
medium,la17,A,800,857,833,19.131126469708992,0.1543620999998893,103.8,50,200,0.8,0.1
medium,la17,B,784,835,796.9,14.394829318582111,0.7639259400004448,323,100,500,0.8,0.2
medium,la17,C,784,794,792.4,2.9888682361946524,2.4390558400000373,573.1,150,1000,0.9,0.3
medium,la20,A,922,1005,962.2,22.841482730622662,0.16471830000045884,137.7,50,200,0.8,0.1
medium,la20,B,910,955,927.1,17.045364309525464,0.7772440500000812,288.7,100,500,0.8,0.2
medium,la20,C,910,951,926.2,14.634813896246778,2.44367865999975,626.3,150,1000,0.9,0.3
large,la32,A,1934,2022,1973.8,33.19906290511492,0.4295863699995607,193.7,50,200,0.8,0.1
large,la32,B,1868,1931,1904.5,21.541948740899826,2.0802191999999193,429.3,100,500,0.8,0.2
large,la32,C,1881,1961,1921.8,24.04994802489186,6.505329700000038,607.1,150,1000,0.9,0.3
large,la35,A,2005,2160,2060.9,42.83677029012445,0.42856095000061034,181.9,50,200,0.8,0.1
large,la35,B,1898,1987,1934.8,28.935944582627485,2.0881203000004462,421.9,100,500,0.8,0.2
large,la35,C,1906,1967,1936,17.441967269268172,6.550418539999919,820.9,150,1000,0.9,0.3
